255,двісті п’ятдесят п’ять
256,двісті п’ятдесят шість
257,двісті п’ятдесят сім
258,двісті п’ятдесят вісім
259,двісті п’ятдесят дев’ять
260,двісті шістдесят
261,двісті шістдесят один
262,двісті шістдесят два
263,двісті шістдесят три
264,двісті шістдесят чотири
265,двісті шістдесят п’ять
266,двісті шістдесят шість
267,двісті шістдесят сім
268,двісті шістдесят вісім
269,двісті шістдесят дев’ять
270,двісті сімдесят
271,двісті сімдесят один
272,двісті сімдесят два
273,двісті сімдесят три
274,двісті сімдесят чотири
275,двісті сімдесят п’ять
276,двісті сімдесят шість
277,двісті сімдесят сім
278,двісті сімдесят вісім
279,двісті сімдесят дев’ять
280,двісті вісімдесят
281,двісті вісімдесят один
282,двісті вісімдесят два
283,двісті вісімдесят три
284,двісті вісімдесят чотири
285,двісті вісімдесят п’ять
286,двісті вісімдесят шість
287,двісті вісімдесят сім
288,двісті вісімдесят вісім
289,двісті вісімдесят дев’ять
290,двісті дев’яносто
291,двісті дев’яносто один
292,двісті дев’яносто два
293,двісті дев’яносто три
294,двісті дев’яносто чотири
295,двісті дев’яносто п’ять
296,двісті дев’яносто шість
297,двісті дев’яносто сім
298,двісті дев’яносто вісім
299,двісті дев’яносто дев’ять
300,триста
301,триста  один
302,триста  два
303,триста  три
304,триста  чотири
305,триста  п’ять
306,триста  шість
307,триста  сім
308,триста  вісім
309,триста  дев’ять
310,триста  десять
311,триста  одинадцять
312,триста  дванадцять
313,триста  тринадцять
314,триста  чотирнадцять
315,триста  п’ятнадцять
316,триста  шістнадцять
317,триста  сімнадцять
318,триста  вісімнадцять
319,триста  дев’ятнадцять
320,триста  двадцять
321,триста  двадцять один
322,триста  двадцять два
323,триста  двадцять три
324,триста  двадцять чотири
325,триста  двадцять п’ять
326,триста  двадцять шість
327,триста  двадцять сім
328,триста  двадцять вісім
329,триста  двадцять дев’ять
330,триста  тридцять
331,триста  тридцять один
332,триста  тридцять два
333,триста  тридцять три
334,триста  тридцять чотири
335,триста  тридцять п’ять
336,триста  тридцять шість
337,триста  тридцять сім
338,триста  тридцять вісім
339,триста  тридцять дев’ять
340,триста  сорок
341,триста  сорок один
342,триста  сорок два
343,триста  сорок три
344,триста  сорок чотири
345,триста  сорок п’ять
346,триста  сорок шість
347,триста  сорок сім
348,триста  сорок вісім
349,триста  сорок дев’ять
350,триста  п’ятдесят
351,триста  п’ятдесят один
352,триста  п’ятдесят два
353,триста  п’ятдесят три
354,триста  п’ятдесят чотири
355,триста  п’ятдесят п’ять
356,триста  п’ятдесят шість
357,триста  п’ятдесят сім
358,триста  п’ятдесят вісім
359,триста  п’ятдесят дев’ять
360,триста  шістдесят
361,триста  шістдесят один
362,триста  шістдесят два
363,триста  шістдесят три
364,триста  шістдесят чотири
365,триста  шістдесят п’ять
366,триста  шістдесят шість
367,триста  шістдесят сім
368,триста  шістдесят вісім
369,триста  шістдесят дев’ять
370,триста  сімдесят
371,триста  сімдесят один
372,триста  сімдесят два
373,триста  сімдесят три
374,триста  сімдесят чотири
375,триста  сімдесят п’ять
376,триста  сімдесят шість
377,триста  сімдесят сім
378,триста  сімдесят вісім
